"","X","week_start_date","total_cases","marginal_cases","cor_lengths","r_0_50","r_50_70","r_70_90","r_90_110","r_110_130","r_130_150","r_150_170","r_170_190","r_190_210","r_210_230","r_230_250","r_250_270","r_270_290","r_290_310","r_310_330","r_330_350","r_350_370","r_370_390","r_390_410","r_410_430","r_430_450","r_450_470","r_470_490","r_490_510","r_510_530","r_530_550","r_550_570","r_570_590","r_590_610","r_610_630","r_630_650","r_650_670","r_670_690","r_690_710","r_710_730","r_730_750","r_750_770","r_770_790","r_790_810","r_810_830","r_830_850","r_850_870","r_870_890","r_890_910","r_910_930","r_930_950","r_950_970","r_970_1000","next_week_marginal_cases","block","wave","wave_1","wave_2","region","mhhinc_tiers","same_tier","tier_diff_1","tier_diff_2","tier_diff_3","northeast","midwest","south"
"11",11,"2020-06-06",11125079,1007635,60,0.270683406048486,0.224248729234394,0.145149092174932,0.169796264793976,-0.138393531061586,-0.041784336696031,-0.1970692891325,-0.048882494906172,0.0555524349050931,-0.228515474605146,-0.0784026935135791,-0.244461339840217,-0.0286505594475546,-0.316724793246174,-0.125192610032492,0.161776607373347,-0.000222356778405425,0.0459082014263205,-0.221763292918527,-0.0631469811999582,-0.269179690022665,-0.204398451525145,-0.25723277415805,-0.0490937778290349,-0.213422383915282,-0.123661896951194,-0.479154486337913,-0.51955043577287,0.231924648215622,0.445403585687699,0.511517930882996,0.409626002636611,0.646341169436049,0.0221903847065082,0.0356921294195084,-0.166767604501655,-0.139516525545805,0.130503614991785,-0.00645307578927223,0.0121033749491205,0.19571061684464,0.473542208574489,-0.394515472890058,-0.195852389601912,0.321060216660136,-0.0383664541608493,0.154980713551233,0.0789959397740403,997931,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"12",12,"2020-06-13",12123010,997931,25,0.00349053036396446,0.2146982053723,-0.035351110039023,0.250769787859872,0.0616799698230773,-0.179177947857367,0.055522682798845,0.0902753379721858,0.10960590674751,-0.143843300882808,-0.090170930425498,-0.0526175091408077,-0.22945421417404,-0.329445479719293,-0.158085905344635,-0.0194991088151259,-0.132771124113184,-0.152645865980695,-0.0874031990741805,-0.0699332060183327,0.000667669332508653,0.0401672203068446,-0.277825214790271,0.0679390649265284,-0.147785742830343,0.112398559031346,-0.0238028770134929,-0.086402010939453,0.55396867063236,0.0931928169511212,-0.127516328443653,0.142341905173423,0.00972665607482889,0.0248502131862389,-0.11955099681549,-0.0777393766374054,-0.325047748330748,0.153475302448854,-0.0715726511745653,0.19939729075834,-0.00263648730878714,0.560582450886736,-0.287462820171218,0.30079542859385,0.2543926004468,-0.0857230197113455,0.115967118989337,0.277020089843231,1098056,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"13",13,"2020-06-20",13221066,1098056,25,0.0412627384231897,-0.0532810156225389,0.0478886579093783,0.125605187538829,0.092231918083283,-0.0553813582666128,0.105313600090377,-0.153977009236618,0.125060078344042,-0.0753139986362339,-0.136172482201831,-0.200971523498072,-0.165209276617895,-0.181814966115204,-0.0407588449863413,-0.00727570595835645,-0.143291150677249,0.195492575548141,-0.0348915133585536,0.0208907177795051,-0.0462970245372186,0.0240511962696911,-0.0727479283572451,0.0255582423798227,0.0618426255793072,0.14895192053103,-0.0607000117072057,-0.126728554691157,0.353699651169551,-0.0735775576211817,-0.0410081938387964,-0.369216164179594,0.0599081768244384,0.124188649301647,-0.0555479384429134,0.0265350898058175,-0.059082281280901,0.233784499653432,0.0119380128810544,0.463302119318546,-0.270393168522823,0.285463380817156,0.110831967204329,0.403412174274529,0.00866340199190975,-0.0604539700095176,-0.20580036946289,0.0209492359015328,1509632,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"14",14,"2020-06-27",14730698,1509632,25,-0.0222899671371289,0.11544736984391,-0.0201558906430083,0.122341629611116,0.105666542928033,0.0185699211214333,0.132513551220712,0.13753139654662,0.164981249110007,-0.145485557183073,-0.0928680480045557,-0.0754908286145891,-0.0153452860616801,0.153173594707692,0.135473620059691,0.0175191385776348,-0.119581162098075,-0.0504233460609317,0.0367286902681892,0.0194457077767582,0.0666982412982029,-0.0434100604351509,0.0198564656817293,0.0458516684652937,-0.0345946229813199,0.0713986599639475,-0.126711047300056,0.00428336759619824,0.413312024735059,-0.167232597342368,0.282896163268364,-0.183328934618118,0.127049745288191,0.138907696254317,-0.0873466516802011,0.221403760679836,0.111074507612964,0.263593975681413,-0.0741309011966562,0.296922359982188,-0.198748157492503,-0.125155237512195,0.314728981803413,0.278998973706171,-0.0184138531911755,-0.0976279039324747,0.0815021874079816,-0.0392687494003778,2090515,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"15",15,"2020-07-04",16821213,2090515,25,-0.126595091945787,0.246342489451154,0.0508804333540084,0.0178085818867968,0.0638326333662282,0.0823192307349104,0.190627478241471,0.0760443271395542,0.208203084620271,-0.0153051754033182,-0.0276212575075079,0.281478038638889,0.0823539541510917,-0.0208924846495218,0.229671941251702,-0.120492096614546,-0.0312503804384479,0.0652102422739341,-0.0657399126009486,0.00997699307938757,0.112610297568427,-0.0152650600446381,-0.265654798584741,-0.0482547008587746,0.101100373788118,0.00951457778857615,-0.170669416159536,0.458391274195899,0.0163064413732257,-0.154818064295639,0.153555312765642,0.334792067883314,0.167639327095234,-0.112114224590032,-0.0105073300386725,-0.0739353761390767,0.0232942374238487,0.120942129197924,0.0859671105518444,0.104196105626498,-0.112081328952062,0.28932826333086,0.294916157277535,0.303936916739931,-0.0226495475200313,-0.149974937479134,-0.00421314856451619,0.0298051121279903,2530205,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"16",16,"2020-07-11",19351418,2530205,80,0.271692170479912,0.405061497390428,0.0507041159731803,0.127451473294638,0.0449194588656058,0.168704078845743,0.151158550379491,-0.103575724048535,-0.0178385326805178,-0.102180150037196,-0.0726380121808605,0.582452210410175,0.341459106653305,0.146233596120205,0.190519742264746,-0.0158517723156727,0.129658679985295,0.180630665941447,0.0853940800188445,-0.00464573684211591,-0.0550394412609467,-0.298999622011372,-0.382649399164924,-0.160972694016422,0.112420112978733,0.00307603965533989,-0.238980470855566,0.528370939445912,-0.116375810169216,-0.119528708705285,0.223602888067072,0.218539086935422,-0.0881916454037322,-0.191477742068196,-0.167599538834323,-0.20504740318012,0.0640888453268162,-0.0801371843760737,-0.00470197352277151,0.282518521885068,0.18921013102219,0.412190030727676,0.120024234857451,0.580379798397028,-0.157759086237758,-0.162486592353232,-0.0100859379271611,-0.0158469166676366,3020264,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"17",17,"2020-07-18",22371682,3020264,80,0.369194598274092,0.374952890520179,0.0107562995410776,0.146582559330998,0.0474107459142484,-0.145839308071326,0.00143515630696531,-0.323679226518911,-0.199981268100879,-0.152060082813744,-0.169753223528968,0.495386042628084,0.146452262290799,0.249127868704587,0.239135140168262,0.102889774238352,0.1768617020152,0.116088313469385,0.0670487585777095,0.0740753796144906,-0.176536301883584,-0.308561167067035,-0.329639823520426,-0.0977518366174942,-0.0622187854052888,0.0318263761796601,-0.109440167550135,0.420984984234259,-0.109180498690355,-0.0887708481378228,0.253618717606876,0.219683682255411,-0.191148233320732,-0.2454913060495,-0.254260561510932,-0.272944471361235,0.067191661732632,-0.186748935078057,-0.0524376489975902,0.325568178873804,0.227712028149931,0.500359094269974,0.138451933480181,0.218819054044294,-0.106191435321664,-0.0740703062838709,-0.016757135705409,-0.0237623235911291,3169117,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"18",18,"2020-07-25",25540799,3169117,80,0.450728653852268,0.340588207347511,0.0459862356659251,0.00671574440334118,-0.191109799634627,-0.192037735335644,-0.1778833073244,-0.322618365171175,-0.184187362943404,-0.178057313696385,-0.335120119369264,0.0804221727763234,-0.103855476220096,-0.00139317998954715,0.0194445165708092,0.0723599443470857,0.241494193040276,0.168794262043225,0.160820339164228,0.0244787327471897,-0.251925667517355,-0.560800387448073,-0.453369079534564,-0.313896657218415,-0.020529370511625,0.0236131418498898,-0.0490116298289453,0.335980283522018,-0.14835466334497,-0.0872283973591326,0.151499226289141,-0.00540420234818347,-0.102236863722886,-0.173430237487302,-0.227254244128439,-0.204081683518447,0.121276381373732,-0.0822006650920545,0.0422391813297182,0.30367532229876,0.214676857662728,0.46698674284411,0.222880062221321,0.18323112272323,-0.186119598293114,0.0299982202094511,-0.0536783545116657,-0.0430657894834719,3077090,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"19",19,"2020-08-01",28617889,3077090,80,0.561946503805575,0.509511300084241,0.179261197906685,0.00139116489408959,-0.241125105815709,-0.250105459382236,-0.118738247389028,-0.428743434170181,-0.12485624385663,-0.0841817915963853,-0.197552459248474,0.100222934087058,-0.0180520630358676,0.128947233671017,0.265103629658572,0.264708931866833,0.345775434514431,0.260827414121089,0.177461991008503,-0.0559162850552483,-0.281085873107556,-0.54991872899032,-0.442893146291424,-0.346383298589068,-0.101882132844383,0.0728149770778034,0.127779559898282,0.278439581645846,-0.129598210609436,-0.0966902117800106,0.227043177751208,0.0894678099756185,0.0417634954892034,-0.00156164587959692,-0.136461712975721,-0.236740131059522,0.136236601987635,-0.128603050467955,0.0102219007394132,0.348002743784368,0.344183797516069,0.527123059767459,0.305154182316482,0.299934283994473,0.0827399275800035,0.155234477236112,-0.0635696548057873,0.145729181451003,2733229,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"20",20,"2020-08-08",31351118,2733229,80,0.461102333140342,0.448687951780734,0.0514385808811561,0.00835978525757722,-0.140733346509425,-0.238660730969632,-0.0927257028237471,-0.260406290377556,-0.171481549294691,-0.146746608566572,-0.215280237917037,-0.124849916052529,-0.156859496930728,-0.102634134992362,-0.0328109335745827,0.0830292980287788,0.170918232464209,0.0911892930251149,0.087701604376214,-0.097577809227949,-0.28357932636148,-0.341126307100677,-0.345198101220377,-0.32822354439967,-0.316093022862964,-0.053355032690308,-0.109880043127296,0.0904353384535591,-0.193885236580698,-0.10329219828376,-0.00609473848796026,0.00387580325034319,-0.00748000063875322,0.138270765436407,-0.0308574220738553,-0.201933153619486,0.12141199773565,-0.0145854806075524,0.145274025120187,0.252090723160749,0.377007093522822,0.37097359207312,0.50146634630066,0.14393263444316,-0.0568616011660275,0.00561009278297583,0.107002518766228,0.0449263452813651,2523836,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"21",21,"2020-08-15",33874954,2523836,80,0.284977005967464,0.273697478402699,0.110674882483405,0.054862250334887,0.0943124789535548,-0.0205057473867785,0.215049901716183,-0.227210522391797,-0.050061289562643,-0.0970114920311298,-0.118352998110449,-0.0799189230261734,-0.107575706114372,0.0101130937566907,-0.0140923339100989,0.132691066404126,0.220543362453895,0.137129411438402,0.0235466911577507,-0.112319334187981,-0.31252346364378,-0.2584763226945,-0.183846591424819,-0.36460427685936,-0.375488375405402,-0.00268025131715303,0.105171679652666,-0.172953032155011,0.205910910114447,0.075566997774863,0.406255398832972,-0.137281068128625,0.0261763037701395,0.109963347476732,-0.141644083046089,-0.13898551818624,0.0273104638308958,-0.132751391900983,0.128318110305248,-0.13828256247799,0.335470703156057,-0.151801832468675,0.579714399078873,0.145875599346333,0.0495073322841788,0.215038293385658,0.432695616799169,0.275441837617097,2231942,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"22",22,"2020-08-22",36106896,2231942,25,0.144068430391157,0.12981580986558,0.0698575425826885,-0.000876221345836749,-0.0848182951130498,-0.0152823398325464,0.358217630529363,-0.218384679909095,0.0108221504456535,-0.0231241079486724,0.111429137944629,-0.00569434167816619,-0.197976132222924,0.0662207525066993,0.0424398444603798,0.122736654230688,0.246378321692315,0.29469517487027,0.0935005481068074,-0.152841932947683,-0.461202426261524,-0.146572365074194,-0.0920567676828484,-0.430542611831475,-0.281184985571238,0.137205723376479,0.140420006588292,-0.156194095163556,0.222488582030147,0.0359225522305459,0.434813782672956,-0.280101619795237,0.0605821113030645,0.180363736271186,-0.196618731333798,-0.0609880307734903,-0.10247269337871,-0.208074543441076,0.118474531555661,-0.176378531595787,0.108244339094313,-0.173542325908688,0.490325959678624,0.207086208984444,0.106860084013223,0.390817795809464,0.375997629867979,0.223270252657494,1988502,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"23",23,"2020-08-29",38095398,1988502,80,0.243539361020641,0.35278235265993,0.029221148705831,0.109254585420486,-0.165523509040104,-0.118552205739958,0.0803905024987481,-0.122376484464066,-0.0831743898508487,-0.11974637438566,-0.133771188929097,-0.204983129992781,-0.235073247448517,-0.161660123866696,-0.150296819159718,-0.247536984693612,-0.098735717339331,-0.0242026125956399,0.0839448828625446,-0.207591525284904,-0.240943295631193,0.0877563818573776,0.0604865495312865,-0.282962562126994,-0.150950579557604,0.246245465490713,-0.00988450606338007,-0.239716197035211,-0.179242389183129,0.0510447456975863,-0.103424506003808,-0.318530925609669,-0.0256435432934338,0.094969492812022,-0.281578590998149,0.0442572151462766,-0.149468582066801,-0.171852985189437,0.103095477134052,-0.0590728151487971,-0.024384030232226,-0.285285440507378,0.474194275103158,-0.112364554517709,0.269403896606987,0.420188986116822,0.335802568966631,0.156067948241168,1941664,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"24",24,"2020-09-05",40037062,1941664,120,0.519295527754983,0.265554960736192,0.544456626423579,0.343857942531228,0.00137463408771772,0.0978411405151959,0.176611027339439,-0.0235358155104651,0.0928212262240084,0.0599662821040962,0.0299271105106319,-0.0880662344563269,-0.032346928059776,0.0615451847384361,0.0705833630681533,0.0931626627040005,0.159248774158422,0.0127355854176646,-0.00641060189732213,-0.212754696013489,-0.461892602410262,-0.377543282325616,-0.275274806854273,-0.439850536475781,-0.322271258518812,0.0556088542384054,0.0210043421842132,0.0198813324694563,0.171048123562615,0.178466007830235,0.432237194193512,-0.123909945861482,0.311623216018316,0.139186340195877,-0.047044076348166,0.206181783196799,0.0884535020332754,0.229922059354109,0.230757951113578,0.0796452738198165,0.0680969890867391,-0.213379431587886,0.296904244143298,0.0627235191556735,0.204233500145487,0.254258989418342,0.16214287411239,0.146866240328835,1750258,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"25",25,"2020-09-12",41787320,1750258,120,0.560263148644292,0.290197541350639,0.503341275955475,0.359283733400968,-0.0690220269379868,-0.0152796067819652,0.00719102013540017,-0.0665821651817129,0.0755129181523684,0.100669555691536,0.0679692922809346,-0.0873792428143964,0.0725159611779014,0.126315262094464,0.131986467630616,0.069075625776368,0.130564565607166,-0.0311802309156509,-0.0421509041781882,-0.208203146146414,-0.582053733240088,-0.616479707885248,-0.420195571106423,-0.43973871535112,-0.534566795453966,0.0379640060124612,-0.0315127017195963,-0.0263136473991848,0.276158283999323,0.246259217599917,0.233808942887993,-0.179813979413585,0.343868317338069,-0.012039773280638,-0.132601521079122,0.285956054524381,0.167827608794504,0.217752212113869,0.260426649702178,0.0742139329346652,-0.000721923377827673,-0.0739117292637883,-0.197154804975621,-0.038559311973524,0.173451973233476,0.281329441426413,0.211851150516101,0.376591208846082,1806400,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"26",26,"2020-09-19",43593720,1806400,60,0.235297014055764,0.129795330022759,0.0531021328885664,0.207859276182407,-0.069297191241184,-0.143758012314035,-0.138452377975285,-0.106286099187388,-0.0337820663381869,0.0751825495951007,-0.148540315215837,-0.104253330413763,0.0467747471488716,0.0584174649748318,0.0361771521440382,-0.0400628868808278,-0.0242849529661424,0.112428468816127,0.111959769001299,0.163347600870819,-0.478268892979063,-0.192946140935084,-0.0392000072661403,-0.246838774357299,-0.456715733600122,0.27823975419956,-0.0491458288803561,-0.321762580734566,0.290973836252902,0.300309742758183,-0.131263890144283,-0.156945104136137,0.491593198775229,-0.182769622757889,-0.280566527354071,0.41736278432453,0.238374885041396,0.0755521257480931,0.137715667131481,0.04321447827206,0.247049862424694,0.07496213931782,0.132316390647447,0.0730009715476035,-0.0048456881284471,0.0698107494562353,-0.0644088871781644,-0.104961752488473,2021970,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"27",27,"2020-09-26",45615690,2021970,25,0.103192786183064,0.0236235986567476,-0.135907419422589,0.113683409890483,-0.0670613855436686,-0.125193768303909,-0.0265218322206024,-0.00807433631608241,-0.00578979110954578,0.141950689117899,-0.162149603937657,-0.0451582528078082,-0.0394332211199665,0.0434101717732955,0.0245504775950881,-0.114432356484391,-0.112495058787943,0.0396697908101825,0.146851066462481,0.278141444413395,-0.406495244007612,-0.188908424976617,0.101703094518503,-0.125654614964995,-0.318305352280516,0.250010614195462,-0.278327359967676,0.015978949667508,0.0372073690759769,0.236258560929482,-0.122057010536787,-0.217128032108505,0.261321542865483,0.0871394221166409,-0.362855433692524,0.374121617444764,0.0532950706765841,0.094812921558973,0.0212751147746444,-0.0543965592392129,-0.144718231008637,-0.147302711125524,-0.0276609914230563,0.0158798227360027,0.0579963894663136,0.0447328516467168,0.0396759791570531,-0.0520982874670145,2005808,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
