"","X","week_start_date","total_cases","marginal_cases","cor_lengths","r_0_50","r_50_70","r_70_90","r_90_110","r_110_130","r_130_150","r_150_170","r_170_190","r_190_210","r_210_230","r_230_250","r_250_270","r_270_290","r_290_310","r_310_330","r_330_350","r_350_370","r_370_390","r_390_410","r_410_430","r_430_450","r_450_470","r_470_490","r_490_510","r_510_530","r_530_550","r_550_570","r_570_590","r_590_610","r_610_630","r_630_650","r_650_670","r_670_690","r_690_710","r_710_730","r_730_750","r_750_770","r_770_790","r_790_810","r_810_830","r_830_850","r_850_870","r_870_890","r_890_910","r_910_930","r_930_950","r_950_970","r_970_1000","next_week_marginal_cases","mhhinc_tier","wave","wave_1","wave_2","tier_1_1","tier_1_2","tier_1_3","tier_1_4","tier_2_2","tier_2_3","tier_2_4","tier_3_3","tier_3_4","tier_4_4","same_tier","tier_diff_1","tier_diff_2","tier_diff_3","tier_descr"
"784",941,"2023-03-18",675092855,1364947,200,0.517540023360377,0.563169752961742,0.29043185722277,0.362490056300249,0.0883950746509271,-0.122873100449135,0.165029826314174,0.208763145812176,0.0399939506558056,-0.13229067142246,0.51955657665176,-0.0835360527712097,0.0151888854744826,-0.070122215611806,0.104917783384462,0.138746489841295,0.230131220224714,-0.0712523021815627,0.131516976400702,0.136233273334433,0.0280399092268121,-0.267433002813061,0.122069531124617,-0.0386342553700432,-0.0384989491637979,-0.278124647115226,-0.243832600466907,0.0618692566851869,0.0845552519948374,0.198909576309257,0.244580132184425,0.0627531286030374,-0.0838536612698017,0.0767526626945614,0.0102031674257142,0.0832108550991626,0.0688468354401877,0.0947453189565084,-0.0133707962978804,-0.000611401380755598,0.032730772467389,-0.0114889061281036,-0.0650125208261567,-0.0629230401723198,-0.00525883969888812,0.000295707057566,-0.0319820579563281,-0.0152506393721334,NA,6,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"are the same"
"785",942,"2023-03-25",482949254,-192143601,280,0.456525302822542,0.432038980124312,0.349051922559768,0.399780613311781,0.254076544646776,0.301932174048891,0.198420294598673,0.220900627283963,0.165644650533984,0.145449034610852,0.129716957901995,0.062936552121937,0.0572643257951596,0.0531341233685259,0.0976861340225958,0.0174106314552213,0.0669408450468688,-0.00268469015182322,0.0489814610888841,0.0692663657246475,0.074693818205783,0.0621259760127938,0.0290731321328897,0.0884116823080752,0.11569883597413,0.0600802117799486,0.0920255847972617,0.0709276204543002,0.0452769249817495,0.0682714681577419,0.0596333995708717,0.0913963834790312,0.0407753267461065,0.0626083429495617,0.0363839116151306,0.0396115105901664,0.0102566362019401,0.0302752745932525,0.0130604541977391,-0.0129447161650235,0.0119044253527641,-0.0154332443144929,-0.0196054253828749,-0.00589591689605645,-0.0484913180358176,-0.0417313299653007,-0.111981833997957,-0.055134989988002,NA,6,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"are the same"
"786",943,"2020-03-28",353484,0,60,0.226355766764219,0.112041069450564,-0.0249328163288838,0.0129694160820272,0.000422835613985464,-0.00440333903695963,-0.0298211673770336,-0.064908637679021,-0.00396656293842072,-0.0842115192161896,-0.0217540756491664,-0.0130758131174612,-0.0271303951147107,0.0421658710935,0.033721193248007,0.00348037701491277,0.0260093629482485,0.107457857948613,0.0321405937349372,0.0318288509566876,0.0016918260478455,0.00427328261581862,0.0568316573744207,0.00732128336854777,-0.0359392660595326,-0.00854385231227615,-0.024320448692749,0.0138309203608953,-0.0122901419380434,0.0130375377444073,-0.0252344454985316,0.0034014066586849,0.0194238707125836,0.0670607054435927,-0.0212639149032366,0.0104794319163024,-0.0253297371326863,-0.0156262936046003,-0.0367296340312709,-0.0420264523028333,-0.0303136526614675,-0.00798785564474961,-0.0532482039789744,0.000511030790619732,0.00349728955256945,-0.0219542854802232,0.00911895764928054,0.0211435442649136,779055,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"differ by 1"
"787",944,"2020-04-04",1132539,779055,60,0.266288924642676,0.120072035951333,0.0461181530450327,0.10618411735076,0.0422456410567219,0.0158400733055651,-0.0360664521715269,-0.0623530365793961,-0.0245338270351727,-0.0643343569143719,-0.0650574251976082,-0.0101748272794685,0.0042058452984536,0.0187204908605276,0.0551938286153347,0.0141346605132138,0.0848410566870675,0.113967299516655,0.0300520353934837,0.0474278935459151,0.0458019069149019,-0.000200775911206091,0.0121266722244834,-0.0139454039006813,-0.0443881774650902,-0.0370520937401557,-0.0456149317904961,-0.0288754489887234,-0.0345070718736917,-0.00627711980911761,0.000582339854738927,-0.00325891354093629,0.0154904982295831,0.0435117258016092,-0.00647210294178742,0.00349663363070895,-0.0157433780943421,-0.0239539003747821,-0.046651368995597,-0.0103891862626025,-0.0315615166301735,-0.00631351491793333,-0.016840534586,0.00389731100266413,0.00074336243442622,0.0372496558318443,0.0366668142295084,0.0237067004229545,1199774,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"differ by 1"
"788",945,"2020-04-11",2332313,1199774,60,0.274949004161817,0.124898211712773,0.170772746722656,0.147307313494033,0.103998453111271,0.0894229421254513,0.0496634526741888,-0.0308675546852637,0.0118447227183475,-0.0627120463953396,-0.00783246923312519,-0.00508639361684366,0.0156442029542595,0.00395430027392165,0.0334046098139531,0.00202167490984145,0.0328405669598295,0.0744673237120735,0.0240967809212831,0.0273304486060494,0.0196299680189146,-0.00751943750071338,0.0372181972823879,-0.00656269848102423,-0.0292192607951548,-0.0251929305169348,-0.0137737316588725,-0.0492571551153938,-0.0373948443253298,-0.0110822666698023,0.00284824206089393,0.0184303538095672,0.063385310067219,0.0535902703841527,-0.0001198519943837,0.0310259065693864,-0.00218599023245176,-0.0169407767330281,-0.0112271040032532,-0.0105788309814917,-0.0181758620471163,0.00403380334539529,0.0102434159860304,0.0087780109530862,0.00411612169968032,0.0384684028263702,0.0414542408686237,6.87372519368291e-05,1165823,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"differ by 1"
"789",946,"2020-04-18",3498136,1165823,25,0.0702893640913339,-0.00894521111865156,0.0852995351739234,0.0512697055590294,0.0466461782209415,0.00863338388720887,0.019822100601466,-0.0202119696725004,0.0115048516839582,0.0110926288283486,0.0656997617399833,0.00726364837687137,0.0410951086715319,0.00531042735032843,0.00427025000557193,0.00814099565218407,0.0111047447534175,0.00282032898899752,-0.00470647082662524,-0.0163382157396173,-0.00201248077961444,-0.0187417667481237,0.0174319108641842,-0.00181689751942693,-0.014293118269733,-0.0160821106518945,-0.0172927870368443,-0.0151807140939134,-0.0153979678270618,-0.0108864134507308,0.0405372430591511,0.0126552411325309,0.0685350248371088,0.0381980616216746,-0.0192936735851626,0.0122947636321613,-0.0209023841703497,-0.0172335902847645,-0.00899228120879554,-0.00873188089155465,-0.00679189628202755,-0.00102540988393239,0.0132376365370163,-0.0215142600899923,-0.0197657129402995,-0.0123605164199881,-0.0121007114806535,-0.0079027896830171,1170755,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"differ by 1"
"790",947,"2020-04-25",4668891,1170755,25,0.0221675734099508,-0.0279728483655808,-0.00831309122613882,0.000868161013247931,-0.0163471171924037,-0.0150804791513211,0.0101172880299697,-0.00373104397004263,-0.0118212334614472,0.093492555833428,0.043658392455473,0.0102589300655814,0.00378751419121238,-0.00867720749183672,-0.000663565904716077,-0.0115186910219194,0.00894613076124227,0.0242951430179278,-0.0036862220509226,-0.00805046140360209,-0.0122942291277064,-0.0147250309552132,-0.0175837257692236,0.00783991664673708,-0.0188784337670414,-0.00920447290640891,-0.0193201711048326,-0.00735618406043925,-0.0155151684570806,0.0027367457583568,-0.00365469361206332,-0.0112474069455642,0.0560272272330674,-0.00715425989637146,-0.0163218141627659,0.0138830769751891,-0.0144504738639502,0.00838861730593838,-0.0120442218008986,0.00550389602624942,0.0219614132115516,-0.00490080427565485,-0.0094966882835099,-0.0110312167729246,-0.0079295448018341,-0.0173217918735113,-0.0150011781549551,-0.00511530747739139,1229625,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"differ by 1"
"791",948,"2020-05-02",5898516,1229625,25,0.09818051474241,-0.00154629066303845,0.167138872554768,0.0947636052182175,0.02621126731275,0.00677798630568789,0.11214982592239,-0.00463090083612913,-0.014521422847762,-0.00773471379000825,0.00242195807719622,-0.011811200615806,0.0181717373768041,-0.00536791538763285,-0.00568813752465475,0.00212394683292596,0.0131454627164765,0.0107352424556919,0.00553792594012663,-0.00241205170261312,-0.0172239128827097,-0.00160407356656374,-0.0156369205553028,0.00833054487904502,-0.0127364488328341,0.0113625589113801,0.00223873435692929,0.0359179895227516,-0.0186323841318271,-0.019708248624927,-0.0202631370527002,-0.011982148125639,0.0151702703849307,-0.0219986423789722,-0.0181035625203039,-0.0126204645224932,-0.00408487896641782,-0.0103444629753196,-0.0207980970176282,-0.0099490021065605,0.0454107890032819,0.0534527413410486,-0.00927344240763854,-0.0114457678222381,0.0512407879104376,0.00136034494792082,-0.000316553672098727,0.00433082744286184,1175087,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"differ by 1"
"792",949,"2020-05-09",7073603,1175087,60,0.134369757670387,0.0181414553645816,0.0746507919500767,0.210810729778098,0.0915044521475253,0.0246123377051138,0.0152983733887699,-7.22196324219437e-05,-0.00635570834120206,0.0230503330112919,0.0290388803556813,-0.00655265060429558,0.0287693787901788,-0.00387692360084425,0.000416068040367882,0.0444714200023056,0.0186293526123255,-0.0023925990064072,-0.00573143225098068,-0.00627755740423462,-0.0054120691345973,0.00308661837216828,-0.00784015696179964,-0.0093974038347015,-0.0138462373408035,-0.0146994441143016,0.013758333167047,0.00122239366336938,-0.0246166459104337,-0.0281091053765064,-0.0238974917839783,-0.0151877202897042,-0.00600137033893489,-0.0265277245264469,-0.0187509227895341,-0.0316978507773364,0.0280764319889909,-0.000496307141917191,-0.0296355402580196,-0.014281013992495,0.0180350870370633,0.0164240168103311,0.00310094310221439,0.00208484220388029,0.0633089570046819,0.0018044902655118,0.00278606013114206,0.009387878354994,1042249,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"differ by 1"
"793",950,"2020-05-16",8115852,1042249,25,0.059614858341293,0.0309007844171034,0.160968178321873,0.263352883208041,0.130583558076768,0.0644536612338191,0.0345406913231529,0.0214302098826506,0.000855207911062396,0.0192236467298591,0.00748401172205599,0.00364139631521374,0.0618463870459934,-0.00597366622795074,0.0144396850429358,0.00853117243481296,0.00642095672838777,0.00030219299594142,-0.0133911879133907,-0.0219328362520483,-0.0024608346574416,-0.03017648715516,0.005330011539823,0.00039570936895667,-0.0322330897319266,-0.0227672531605354,0.0365153683100734,0.0224654808544313,-0.0221648375161298,-0.0332428162014226,-0.0269695099452396,0.0230413622658071,0.00665634371239837,-0.0266475403148423,-0.0298036378484521,-0.0272026372091616,0.0714299694696407,0.0256337905768233,-0.0278386710062542,-0.0166346748612531,-0.00897446149752541,0.000747403130259918,0.00763732917646906,0.00653188818017755,0.0316820758156365,-0.0117970816190612,-0.00980787325693284,0.0131089473753367,1015099,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"differ by 1"
"794",951,"2020-05-23",9130951,1015099,25,0.0569292973703426,0.0392383004016705,0.0429132770457413,0.104326809242834,0.0500828673924045,0.0491834077367067,0.0413028419443643,0.0497894336091471,0.00477088858271617,0.0347473260668893,0.0167686485200667,0.042745807162535,0.0345070132000133,-0.012011185923102,0.0363214166610247,0.015450060474723,0.00888306954533304,-0.0142733399557898,-0.0103130205938947,-0.0182260736504198,0.00700506895395361,-0.0230248075138325,-0.000986022244335873,-0.027754542370759,-0.0325036098047916,-0.0366343462449448,0.0309879895259071,-0.0201708241144699,-0.0309256640129001,-0.0337861574981227,-0.0352331617775873,-0.00378829675018067,0.0026542181995214,0.00547998558549139,-0.035969114562165,-0.0124843506058263,0.0184399451475291,0.0536713266993456,-0.00512018325841318,-0.0241664244729448,-0.00803032670578648,0.018279439149213,0.000603094496526436,0.0184551404749364,0.0249346461442036,-0.00102601851986745,-0.000158794298821716,0.0179289296312556,986493,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"differ by 1"
"795",952,"2020-05-30",10117444,986493,60,0.13878488026241,0.0701093191212375,0.0992026262398605,0.004213111224149,0.0559457964210027,0.0278949022727996,0.0283320544836976,0.101098620991246,-0.00220902212999404,0.0753282368788739,-0.0110450678554634,0.0246879457399753,0.0360183271858591,-0.0101927323660667,0.133023433369511,0.0265334295426423,0.0322765184370136,-0.0208227192119818,-0.0170347983811811,-0.014758531492907,0.0130970253283883,-0.013582169125988,0.00954256669096055,-0.0228540721726462,-0.0342537702404703,-0.0207246061246306,-0.0296418305138733,-0.00474266168638109,-0.00961871972356926,-0.0352007260670338,-0.0320497364778126,0.00317494926233287,-0.0133387924550972,0.0239542224132993,-0.0215441618446897,-0.0258653038493079,-0.014945348891668,-0.00631574527455431,-0.0236176742421959,-0.0248515483863615,-0.0100664504454132,0.0301839955159847,0.00419973768362453,0.00559775121559972,0.0174092057948153,-0.00891995228916322,-0.00955126687889872,0.00476666300407208,1007635,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"differ by 1"
"796",953,"2020-06-06",11125079,1007635,25,0.0851974137278821,0.0956594923036723,0.0407125541497033,0.0877744483081271,0.0346181124577363,0.0178027357638813,-0.00336739821810302,0.0966305213353948,-0.0126807017050472,0.0869713764199498,0.00860319090011621,-0.00416564589598781,0.0405636801748539,-0.00408565927700398,0.10060616158018,0.0157164403285396,0.00443018664524214,-0.00997406924990817,0.138541894692236,-0.0276783588174198,0.00124335478607833,-0.0279484759463873,-0.0120710569589492,-0.0050059904924128,-0.0337238894262787,-0.00648789776878983,0.00320440075792538,-0.00708108959690474,-0.0151645930485927,-0.0333323856042034,-0.0174540936886758,-0.0147731837472914,-0.0222590365768857,0.0280289220319085,-0.0277908130798183,-0.0148817812328936,-0.0103576267973307,-0.0151514741907146,0.00222648923865984,-0.0190349776903724,-0.0262355038542488,-0.00283369580362274,-0.0114504910774819,-0.00134015452347338,-0.00873696263406255,-0.0125253676660268,0.0123547359190868,-0.00714253751290881,997931,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"differ by 1"
"797",954,"2020-06-13",12123010,997931,80,0.126379036202323,0.140508992271436,0.0390927218505746,0.190990762556495,0.125828452124047,0.035809822713401,0.052057930578635,0.0797652862774577,0.00023798757488943,0.0869835348684451,0.0557061120427058,0.0118246753383871,0.0866966074599077,0.00697964845646986,0.0942808737242413,0.0299495877387682,0.0182472390526106,-0.00528180113629569,0.0274269993004777,-0.0125584295705174,0.0117079874281721,-0.0193343576214729,0.00886035012707995,-0.0206515920866705,-0.0323222533855302,0.00053189277191293,-0.0283601653779703,-0.0101121365571018,-0.0083214492746275,-0.0264848166330695,-0.0316160882268958,-0.014689099583798,-0.0164864525036683,-0.00823858144130696,-0.0176943271973452,-0.0214461959305901,-0.00273495413095279,-0.0176715871416008,-0.0204029170865116,-0.0141163363595392,-0.0116817517694629,-0.0117130764310091,-0.0189387022983135,-0.00284661263982231,-0.0181966708562591,-0.0128105962555167,-0.00914384389229952,-0.00555579189414825,1098056,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"differ by 1"
"798",955,"2020-06-20",13221066,1098056,80,0.317944340800611,0.190895762461821,0.0786793114181653,0.117184854387337,0.144605043544137,0.0735544680541619,0.119852848579419,0.119142015862959,0.0428228812269442,0.106488118710266,0.0807863177892638,0.00398092565609794,0.103164322238725,0.06261101483797,0.0698062770159207,0.0346118018932873,0.0284630640667894,0.0190266951176404,0.0174268632524049,-0.00826856777991061,0.0180298981680874,-0.00608711632365693,0.0428540601695489,-0.0175331106551438,-0.0193147241258499,0.0185641612645218,-0.0232174450291159,0.0163367376873755,-0.00163293051279749,-0.00710108164377662,-0.0368684290231147,0.00197376023422386,-0.00370231158583885,-0.0180941238416516,-0.00605402630614188,-0.0154787430148538,0.0297597589803058,-0.00544220942811005,-0.011522005834858,-0.0189795817153035,-0.00987875263710426,-0.0114038701562381,-0.0143756424588379,0.00901937127246689,-0.00732060595665157,-0.0157605332778183,-0.00819754981842189,0.00212854403000526,1509632,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"differ by 1"
